Entity,Code,Year,Share of the population not using improved water sources,time
Afghanistan,AFG,2022,16.653236,2022
Albania,ALB,2022,3.0322037,2022
Algeria,DZA,2022,0.41259003,2022
Andorra,AND,2022,0,2022
Angola,AGO,2022,32.98281,2022
Antigua and Barbuda,ATG,2022,1.6350632,2022
Argentina,,,,2022
Armenia,ARM,2022,0.031692505,2022
Australia,AUS,2022,0.030265808,2022
Austria,AUT,2022,0,2022
Azerbaijan,AZE,2022,1.2933121,2022
Bahamas,,,1.1130371,2019
Bahrain,BHR,2022,0.08010101,2022
Bangladesh,BGD,2022,0.71585083,2022
Barbados,BRB,2022,1.2179489,2022
Belarus,BLR,2022,0.5291519,2022
Belgium,BEL,2022,0,2022
Belize,BLZ,2022,0.34653473,2022
Benin,BEN,2022,24.62696,2022
Bhutan,BTN,2022,0.21788025,2022
Bolivia,BOL,2022,5.7499466,2022
Bosnia and Herzegovina,BIH,2022,0.06348419,2022
Botswana,BWA,2022,2.8772736,2022
Brazil,BRA,2022,0.4062271,2022
Brunei,BRN,2022,0.09994507,2022
Bulgaria,BGR,2022,0.9374695,2022
Burkina Faso,BFA,2022,21.016685,2022
Burundi,BDI,2022,18.213043,2022
Cambodia,KHM,2022,10.452972,2022
Cameroon,CMR,2022,16.17572,2022
Canada,CAN,2022,0.7778168,2022
Cape Verde,CPV,2022,2.704712,2022
Central African Republic,CAF,2022,37.06966,2022
Chad,TCD,2022,35.46273,2022
Chile,CHL,2022,0,2022
China,CHN,2022,1.8726044,2022
Colombia,COL,2022,2.2557755,2022
Comoros,,,8.929085,2019
Congo,,,15.56765,2021
Costa Rica,CRI,2022,0,2022
Cote d'Ivoire,CIV,2022,18.898552,2022
Croatia,,,,2022
Cuba,CUB,2022,2.424263,2022
Cyprus,CYP,2022,0.23493958,2022
Czechia,CZE,2022,0.119140625,2022
Democratic Republic of Congo,COD,2022,40.923683,2022
Denmark,DNK,2022,0,2022
Djibouti,DJI,2022,9.064423,2022
Dominica,,,4.5793457,2017
Dominican Republic,DOM,2022,2.7960968,2022
East Timor,TLS,2022,11.069794,2022
Ecuador,ECU,2022,4.2966537,2022
Egypt,EGY,2022,0.99593353,2022
El Salvador,SLV,2022,1.2078552,2022
Equatorial Guinea,,,32.376183,2017
Eritrea,,,,2022
Estonia,EST,2022,0,2022
Eswatini,SWZ,2022,16.621506,2022
Ethiopia,ETH,2022,20.487442,2022
Fiji,FJI,2022,3.760353,2022
Finland,FIN,2022,0,2022
France,FRA,2022,0,2022
French Guiana,GUF,2022,5.641159,2022
Gabon,GAB,2022,5.107048,2022
Gambia,GMB,2022,8.444336,2022
Georgia,GEO,2022,2.2843094,2022
Germany,DEU,2022,0,2022
Ghana,GHA,2022,5.695503,2022
Greece,GRC,2022,0,2022
Greenland,GRL,2022,0,2022
Grenada,,,3.2098694,2017
Guatemala,GTM,2022,4.3534546,2022
Guinea,GIN,2022,16.383965,2022
Guinea-Bissau,GNB,2022,23.352074,2022
Guyana,GUY,2022,1.6716232,2022
Haiti,HTI,2022,22.87098,2022
Honduras,HND,2022,3.1361465,2022
Hungary,HUN,2022,0,2022
Iceland,ISL,2022,0,2022
India,IND,2022,2.521988,2022
Indonesia,IDN,2022,5.0268173,2022
Iran,IRN,2022,0.3932495,2022
Iraq,IRQ,2022,0.7360916,2022
Ireland,IRL,2022,4.0085983,2022
Israel,ISR,2022,0,2022
Italy,ITA,2022,0.082969666,2022
Jamaica,JAM,2022,3.5714493,2022
Japan,JPN,2022,0.86325836,2022
Jordan,JOR,2022,0.88666534,2022
Kazakhstan,,,2.6143112,2021
Kenya,KEN,2022,28.480385,2022
Kiribati,KIR,2022,20.006317,2022
Kuwait,KWT,2022,0,2022
Kyrgyzstan,KGZ,2022,6.338646,2022
Laos,LAO,2022,11.044235,2022
Latvia,LVA,2022,0.42173767,2022
Lebanon,LBN,2022,0,2022
Lesotho,LSO,2022,15.394356,2022
Liberia,LBR,2022,14.412727,2022
Libya,LBY,2022,0.10847473,2022
Liechtenstein,LIE,2022,0,2022
Lithuania,LTU,2022,1.9606018,2022
Luxembourg,LUX,2022,0.11405182,2022
Madagascar,MDG,2022,42.01753,2022
Malawi,MWI,2022,7.2698364,2022
Malaysia,MYS,2022,2.491806,2022
Maldives,MDV,2022,0.39430237,2022
Mali,MLI,2022,11.697838,2022
Malta,MLT,2022,0,2022
Marshall Islands,MHL,2022,3.8680725,2022
Mauritania,MRT,2022,13.273239,2022
Mauritius,MUS,2022,0,2022
Mexico,MEX,2022,0.29357147,2022
Micronesia (country),,,9.885712,2020
Moldova,MDA,2022,6.431076,2022
Monaco,MCO,2022,0,2022
Mongolia,MNG,2022,9.303352,2022
Montenegro,MNE,2022,0.5851822,2022
Morocco,MAR,2022,10.947609,2022
Mozambique,MOZ,2022,27.01355,2022
Myanmar,MMR,2022,16.918442,2022
Namibia,NAM,2022,6.984146,2022
Nauru,,,2.996643,2019
Nepal,NPL,2022,4.589821,2022
Netherlands,NLD,2022,0,2022
New Caledonia,NCL,2022,0.4613266,2022
New Zealand,NZL,2022,0,2022
Nicaragua,,,16.7846,2020
Niger,NER,2022,31.470741,2022
Nigeria,NGA,2022,16.05851,2022
North Korea,PRK,2022,5.426567,2022
North Macedonia,MKD,2022,0.5741348,2022
Norway,NOR,2022,0,2022
Oman,OMN,2022,0.259346,2022
Pakistan,PAK,2022,4.928009,2022
Palau,PLW,2022,0.42955017,2022
Palestine,PSE,2022,0.3416977,2022
Panama,PAN,2022,3.5010376,2022
Papua New Guinea,PNG,2022,47.35146,2022
Paraguay,PRY,2022,0,2022
Peru,PER,2022,4.6086807,2022
Philippines,PHL,2022,2.2995605,2022
Poland,POL,2022,9.630417,2022
Portugal,PRT,2022,0.7395935,2022
Puerto Rico,PRI,2022,0,2022
Qatar,QAT,2022,0.011024475,2022
Romania,ROU,2022,0,2022
Russia,RUS,2022,2.3312454,2022
Rwanda,RWA,2022,15.5746155,2022
Saint Kitts and Nevis,,,1.3881454,2017
Saint Lucia,LCA,2022,1.2947845,2022
Saint Vincent and the Grenadines,,,2.2716904,2018
Samoa,WSM,2022,0.6793442,2022
San Marino,SMR,2022,0,2022
Sao Tome and Principe,STP,2022,2.3355331,2022
Saudi Arabia,SAU,2022,0.67783356,2022
Senegal,SEN,2022,11.019264,2022
Serbia,SRB,2022,0.45142365,2022
Seychelles,SYC,2022,3.5811539,2022
Sierra Leone,SLE,2022,27.225166,2022
Singapore,SGP,2022,0,2022
Slovakia,SVK,2022,0,2022
Slovenia,SVN,2022,0.5,2022
Solomon Islands,,,26.770523,2021
Somalia,SOM,2022,13.34832,2022
South Africa,ZAF,2022,2.7638855,2022
South Korea,KOR,2022,0,2022
South Sudan,SSD,2022,21.538185,2022
Spain,ESP,2022,0.07484436,2022
Sri Lanka,LKA,2022,8.896095,2022
Sudan,SDN,2022,6.2190323,2022
Suriname,SUR,2022,0.9410095,2022
Sweden,SWE,2022,0.26112366,2022
Switzerland,CHE,2022,0,2022
Syria,SYR,2022,0.091163635,2022
Tajikistan,TJK,2022,15.502457,2022
Tanzania,TZA,2022,23.013977,2022
Thailand,THA,2022,0,2022
Togo,TGO,2022,22.824295,2022
Tonga,TON,2022,0.30571747,2022
Trinidad and Tobago,TTO,2022,0,2022
Tunisia,TUN,2022,1.2105103,2022
Turkey,TUR,2022,0.9587021,2022
Turkmenistan,TKM,2022,0,2022
Tuvalu,TUV,2022,0.34223175,2022
Uganda,UGA,2022,15.84462,2022
Ukraine,UKR,2022,0.7406769,2022
United Arab Emirates,ARE,2022,0,2022
United Kingdom,GBR,2022,0,2022
United States,USA,2022,0.035888672,2022
Uruguay,URY,2022,0,2022
Uzbekistan,UZB,2022,1.5732193,2022
Vanuatu,VUT,2022,8.13839,2022
Venezuela,VEN,2022,6.1993866,2022
Vietnam,VNM,2022,2.0431824,2022
Yemen,YEM,2022,8.796425,2022
Zambia,ZMB,2022,25.3497,2022
Zimbabwe,ZWE,2022,23.189262,2022
