entity_id,name,baseline,year
ZWE,Zimbabwe,0.414728,2023
ZMB,Zambia,0.230713,2023
YEM,Yemen,0.363502,2023
VNM,Vietnam,0.144743,2023
VEN,Venezuela,0.227607,2023
VUT,Vanuatu,0.205096,2023
UZB,Uzbekistan,0.460245,2023
URY,Uruguay,0.07729,2023
FSM,Micronesia,0.414728,2023
USA,United States of America,0.105723,2023
GBR,United Kingdom,0.048093,2023
ARE,United Arab Emirates,0.225507,2023
UKR,Ukraine,0.500198,2023
UGA,Uganda,0.226387,2023
TKM,Turkmenistan,0.434119,2023
TUR,Turkey,0.147155,2023
TUN,Tunisia,0.203518,2023
TTO,Trinidad and Tobago,0.12171,2023
TGO,Togo,0.225338,2023
THA,Thailand,0.118263,2023
TZA,Tanzania,0.233853,2023
TJK,Tajikistan,0.209946,2023
SYR,Syria,0.50996,2023
CHE,Switzerland,0,2023
SWE,Sweden,0.014723,2023
SWZ,eSwatini,0.547676,2023
SUR,Suriname,0.201056,2023
SSD,S. Sudan,0.350026,2023
SDN,Sudan,0.463074,2023
LKA,Sri Lanka,0.152798,2023
ESP,Spain,0.100645,2023
KOR,South Korea,0.023809,2023
ZAF,South Africa,0.384068,2023
SOM,Somalia,0.546843,2023
SLB,Solomon Is.,0.229721,2023
SVK,Slovakia,0.096964,2023
SVN,Slovenia,0.040704,2023
SLE,Sierra Leone,0.278342,2023
SRB,Serbia,0.146912,2023
SEN,Senegal,0.209149,2023
SAU,Saudi Arabia,0.190843,2023
RWA,Rwanda,0.180372,2023
RUS,Russia,0.203169,2023
QAT,Qatar,0.215835,2023
PRT,Portugal,0.056309,2023
POL,Poland,0.278489,2023
PHL,Philippines,0.161216,2023
PER,Peru,0.188724,2023
PRY,Paraguay,0.172096,2023
PNG,Papua New Guinea,0.2295,2023
PAN,Panama,0.127613,2023
PAK,Pakistan,0.683799,2023
OMN,Oman,0.248005,2023
NOR,Norway,0.001,2023
NGA,Nigeria,0.260302,2023
NER,Niger,0.369001,2023
NIC,Nicaragua,0.212704,2023
NZL,New Zealand,0.018023,2023
NLD,Netherlands,0.290166,2023
NPL,Nepal,0.246037,2023
NAM,Namibia,0.350557,2023
MOZ,Mozambique,0.263675,2023
MAR,Morocco,0.239916,2023
MNE,Montenegro,0.099405,2023
MNG,Mongolia,0.330128,2023
MDA,Moldova,0.270991,2023
MEX,Mexico,0.225766,2023
MRT,Mauritania,0.36284,2023
MLI,Mali,0.389279,2023
MYS,Malaysia,0.082927,2023
MWI,Malawi,0.249876,2023
MDG,Madagascar,0.265258,2023
MKD,North Macedonia,0.164411,2023
LUX,Luxembourg,0.000263,2023
LTU,Lithuania,0.195121,2023
LBY,Libya,0.40002,2023
LBR,Liberia,0.279004,2023
LSO,Lesotho,0.253638,2023
LBN,Lebanon,0.242429,2023
LVA,Latvia,0.190225,2023
LAO,Laos,0.206774,2023
KGZ,Kyrgyzstan,0.194268,2023
KWT,Kuwait,0.313579,2023
KEN,Kenya,0.274814,2023
KAZ,Kazakhstan,0.299845,2023
JOR,Jordan,0.285155,2023
JPN,Japan,0.014969,2023
JAM,Jamaica,0.134419,2023
ITA,Italy,0.067509,2023
ISR,Israel,0.563991,2023
IRL,Ireland,0.016823,2023
IRQ,Iraq,0.718443,2023
IRN,Iran,0.346806,2023
IDN,Indonesia,0.135745,2023
IND,India,0.375849,2023
ISL,Iceland,0.016861,2023
HUN,Hungary,0.322573,2023
HND,Honduras,0.228891,2023
HTI,Haiti,0.281574,2023
GUY,Guyana,0.157843,2023
GNB,Guinea-Bissau,0.283755,2023
GIN,Guinea,0.279328,2023
GTM,Guatemala,0.23538,2023
GRC,Greece,0.094382,2023
GHA,Ghana,0.191526,2023
DEU,Germany,0.159233,2023
GEO,Georgia,0.088,2023
GMB,Gambia,0.241289,2023
GAB,Gabon,0.191506,2023
FIN,Finland,0.00838,2023
FRA,France,0.054,2023
FJI,Fiji,0.122134,2023
ETH,Ethiopia,0.297607,2023
EST,Estonia,0.105416,2023
ERI,Eritrea,0.431955,2023
GNQ,Eq. Guinea,0.229202,2023
SLV,El Salvador,0.162001,2023
EGY,Egypt,0.419273,2023
ECU,Ecuador,0.161906,2023
DOM,Dominican Rep.,0.137729,2023
DJI,Djibouti,0.272706,2023
DNK,Denmark,0,2023
CZE,Czechia,0.152131,2023
CYP,Cyprus,0.058101,2023
CUB,Cuba,0.159708,2023
HRV,Croatia,0.067833,2023
CIV,Côte d'Ivoire,0.219079,2023
CRI,Costa Rica,0.110031,2023
COD,Dem. Rep. Congo,0.296052,2023
COG,Congo,0.246695,2023
COL,Colombia,0.191837,2023
