Entity,Code,Year,Freshwater use
World,OWID_WRL,1901,6.71307E+11
World,OWID_WRL,1902,6.85161E+11
World,OWID_WRL,1903,6.55135E+11
World,OWID_WRL,1904,6.99576E+11
World,OWID_WRL,1905,7.00947E+11
World,OWID_WRL,1906,6.96603E+11
World,OWID_WRL,1907,7.31145E+11
World,OWID_WRL,1908,7.19472E+11
World,OWID_WRL,1909,7.28901E+11
World,OWID_WRL,1910,7.213E+11
World,OWID_WRL,1911,7.45681E+11
World,OWID_WRL,1912,7.67006E+11
World,OWID_WRL,1913,8.1533E+11
World,OWID_WRL,1914,7.86613E+11
World,OWID_WRL,1915,7.95362E+11
World,OWID_WRL,1916,7.87232E+11
World,OWID_WRL,1917,7.7564E+11
World,OWID_WRL,1918,8.66091E+11
World,OWID_WRL,1919,8.36046E+11
World,OWID_WRL,1920,8.84507E+11
World,OWID_WRL,1921,8.4307E+11
World,OWID_WRL,1922,8.7184E+11
World,OWID_WRL,1923,8.71315E+11
World,OWID_WRL,1924,8.89083E+11
World,OWID_WRL,1925,9.24787E+11
World,OWID_WRL,1926,8.97785E+11
World,OWID_WRL,1927,9.42227E+11
World,OWID_WRL,1928,9.48218E+11
World,OWID_WRL,1929,9.71752E+11
World,OWID_WRL,1930,9.53917E+11
World,OWID_WRL,1931,9.33753E+11
World,OWID_WRL,1932,9.7508E+11
World,OWID_WRL,1933,9.4788E+11
World,OWID_WRL,1934,1.00123E+12
World,OWID_WRL,1935,1.01797E+12
World,OWID_WRL,1936,1.03014E+12
World,OWID_WRL,1937,1.03752E+12
World,OWID_WRL,1938,1.06864E+12
World,OWID_WRL,1939,1.10169E+12
World,OWID_WRL,1940,1.11006E+12
World,OWID_WRL,1941,1.12797E+12
World,OWID_WRL,1942,1.1189E+12
World,OWID_WRL,1943,1.13866E+12
World,OWID_WRL,1944,1.14267E+12
World,OWID_WRL,1945,1.14148E+12
World,OWID_WRL,1946,1.17773E+12
World,OWID_WRL,1947,1.17808E+12
World,OWID_WRL,1948,1.18391E+12
World,OWID_WRL,1949,1.194E+12
World,OWID_WRL,1950,1.22658E+12
World,OWID_WRL,1951,1.32811E+12
World,OWID_WRL,1952,1.37903E+12
World,OWID_WRL,1953,1.3738E+12
World,OWID_WRL,1954,1.37268E+12
World,OWID_WRL,1955,1.42477E+12
World,OWID_WRL,1956,1.45735E+12
World,OWID_WRL,1957,1.56729E+12
World,OWID_WRL,1958,1.57692E+12
World,OWID_WRL,1959,1.63832E+12
World,OWID_WRL,1960,1.75186E+12
World,OWID_WRL,1961,1.76532E+12
World,OWID_WRL,1962,1.83601E+12
World,OWID_WRL,1963,1.91942E+12
World,OWID_WRL,1964,1.94667E+12
World,OWID_WRL,1965,2.09453E+12
World,OWID_WRL,1966,2.15535E+12
World,OWID_WRL,1967,2.1331E+12
World,OWID_WRL,1968,2.34915E+12
World,OWID_WRL,1969,2.35873E+12
World,OWID_WRL,1970,2.36206E+12
World,OWID_WRL,1971,2.43575E+12
World,OWID_WRL,1972,2.54723E+12
World,OWID_WRL,1973,2.60632E+12
World,OWID_WRL,1974,2.72475E+12
World,OWID_WRL,1975,2.63824E+12
World,OWID_WRL,1976,2.73969E+12
World,OWID_WRL,1977,2.79054E+12
World,OWID_WRL,1978,2.99113E+12
World,OWID_WRL,1979,3.11012E+12
World,OWID_WRL,1980,3.07344E+12
World,OWID_WRL,1981,3.05397E+12
World,OWID_WRL,1982,3.06719E+12
World,OWID_WRL,1983,3.03354E+12
World,OWID_WRL,1984,3.11582E+12
World,OWID_WRL,1985,3.12875E+12
World,OWID_WRL,1986,3.23309E+12
World,OWID_WRL,1987,3.27139E+12
World,OWID_WRL,1988,3.33841E+12
World,OWID_WRL,1989,3.36905E+12
World,OWID_WRL,1990,3.32136E+12
World,OWID_WRL,1991,3.41769E+12
World,OWID_WRL,1992,3.31944E+12
World,OWID_WRL,1993,3.35825E+12
World,OWID_WRL,1994,3.46407E+12
World,OWID_WRL,1995,3.42021E+12
World,OWID_WRL,1996,3.33887E+12
World,OWID_WRL,1997,3.44186E+12
World,OWID_WRL,1998,3.49576E+12
World,OWID_WRL,1999,3.65105E+12
World,OWID_WRL,2000,3.78595E+12
World,OWID_WRL,2001,3.86164E+12
World,OWID_WRL,2002,3.80686E+12
World,OWID_WRL,2003,3.72307E+12
World,OWID_WRL,2004,3.85297E+12
World,OWID_WRL,2005,3.82744E+12
World,OWID_WRL,2006,3.9922E+12
World,OWID_WRL,2007,4.00366E+12
World,OWID_WRL,2008,3.94833E+12
World,OWID_WRL,2009,4.07295E+12
World,OWID_WRL,2010,3.87189E+12
World,OWID_WRL,2014,3.98568E+12
