Entity,Code,Year,Land use: Agriculture,Land use: Agriculture
World,OWID_WRL,1850,1776202600,1776202600
World,OWID_WRL,1860,1891751800,1891751800
World,OWID_WRL,1870,1914134800,1914134800
World,OWID_WRL,1880,2070905300,2070905300
World,OWID_WRL,1890,2237018600,2237018600
World,OWID_WRL,1900,2472262700,2472262700
World,OWID_WRL,1910,2707164700,2707164700
World,OWID_WRL,1920,2882303700,2882303700
World,OWID_WRL,1930,3131929000,3131929000
World,OWID_WRL,1940,3382520800,3382520800
World,OWID_WRL,1950,3697435400,3697435400
World,OWID_WRL,1951,3754210300,3754210300
World,OWID_WRL,1952,3817681000,3817681000
World,OWID_WRL,1953,3882836000,3882836000
World,OWID_WRL,1954,3948212700,3948212700
World,OWID_WRL,1955,4014646500,4014646500
World,OWID_WRL,1956,4082119400,4082119400
World,OWID_WRL,1957,4150398000,4150398000
World,OWID_WRL,1958,4219214000,4219214000
World,OWID_WRL,1959,4283045600,4283045600
World,OWID_WRL,1960,4336585700,4336585700
World,OWID_WRL,1961,4369812500,4369812500
World,OWID_WRL,1962,4391041500,4391041500
World,OWID_WRL,1963,4398276600,4398276600
World,OWID_WRL,1964,4404788000,4404788000
World,OWID_WRL,1965,4414394400,4414394400
World,OWID_WRL,1966,4417106000,4417106000
World,OWID_WRL,1967,4427201000,4427201000
World,OWID_WRL,1968,4447981600,4447981600
World,OWID_WRL,1969,4460488000,4460488000
World,OWID_WRL,1970,4455229000,4455229000
World,OWID_WRL,1971,4472857600,4472857600
World,OWID_WRL,1972,4481092600,4481092600
World,OWID_WRL,1973,4496428500,4496428500
World,OWID_WRL,1974,4504257000,4504257000
World,OWID_WRL,1975,4513082400,4513082400
World,OWID_WRL,1976,4520596500,4520596500
World,OWID_WRL,1977,4524593700,4524593700
World,OWID_WRL,1978,4536142300,4536142300
World,OWID_WRL,1979,4543578600,4543578600
World,OWID_WRL,1980,4556102700,4556102700
World,OWID_WRL,1981,4568234500,4568234500
World,OWID_WRL,1982,4588225500,4588225500
World,OWID_WRL,1983,4601703400,4601703400
World,OWID_WRL,1984,4628602000,4628602000
World,OWID_WRL,1985,4656740000,4656740000
World,OWID_WRL,1986,4666228000,4666228000
World,OWID_WRL,1987,4683615000,4683615000
World,OWID_WRL,1988,4699074000,4699074000
World,OWID_WRL,1989,4710747600,4710747600
World,OWID_WRL,1990,4722243600,4722243600
World,OWID_WRL,1991,4732103700,4732103700
World,OWID_WRL,1992,4737624600,4737624600
World,OWID_WRL,1993,4750175700,4750175700
World,OWID_WRL,1994,4755938300,4755938300
World,OWID_WRL,1995,4763973600,4763973600
World,OWID_WRL,1996,4774063600,4774063600
World,OWID_WRL,1997,4791541000,4791541000
World,OWID_WRL,1998,4798526500,4798526500
World,OWID_WRL,1999,4802958300,4802958300
World,OWID_WRL,2000,4809947000,4809947000
World,OWID_WRL,2001,4812225500,4812225500
World,OWID_WRL,2002,4797968400,4797968400
World,OWID_WRL,2003,4796301000,4796301000
World,OWID_WRL,2004,4779412500,4779412500
World,OWID_WRL,2005,4812186000,4812186000
World,OWID_WRL,2006,4808308000,4808308000
World,OWID_WRL,2007,4804600300,4804600300
World,OWID_WRL,2008,4795025400,4795025400
World,OWID_WRL,2009,4760550000,4760550000
World,OWID_WRL,2010,4766074000,4766074000
World,OWID_WRL,2011,4767245300,4767245300
World,OWID_WRL,2012,4783990300,4783990300
World,OWID_WRL,2013,4775427000,4775427000
World,OWID_WRL,2014,4777250300,4777250300
World,OWID_WRL,2015,4770877000,4770877000
World,OWID_WRL,2016,4770274000,4770274000
World,OWID_WRL,2017,4798826000,4798826000
World,OWID_WRL,2018,4791035000,4791035000
World,OWID_WRL,2019,4796599300,4796599300
World,OWID_WRL,2020,4803777500,4803777500
World,OWID_WRL,2021,4815811600,4815811600
World,OWID_WRL,2022,4820653600,4820653600
World,OWID_WRL,2023,4825602000,4825602000
