# Title: Global Land and Ocean 12-Month Period Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
Date,Anomaly
185012,-0.19
185101,-0.17
185102,-0.15
185103,-0.16
185104,-0.16
185105,-0.15
185106,-0.16
185107,-0.15
185108,-0.14
185109,-0.13
185110,-0.09
185111,-0.08
185112,-0.09
185201,-0.07
185202,-0.09
185203,-0.1
185204,-0.1
185205,-0.08
185206,-0.06
185207,-0.06
185208,-0.06
185209,-0.06
185210,-0.06
185211,-0.05
185212,-0.05
185301,-0.06
185302,-0.06
185303,-0.04
185304,-0.04
185305,-0.04
185306,-0.05
185307,-0.04
185308,-0.05
185309,-0.06
185310,-0.08
185311,-0.09
185312,-0.1
185401,-0.12
185402,-0.11
185403,-0.09
185404,-0.08
185405,-0.08
185406,-0.09
185407,-0.1
185408,-0.11
185409,-0.1
185410,-0.09
185411,-0.08
185412,-0.06
185501,-0.05
185502,-0.04
185503,-0.04
185504,-0.04
185505,-0.04
185506,-0.04
185507,-0.05
185508,-0.05
185509,-0.05
185510,-0.06
185511,-0.06
185512,-0.08
185601,-0.06
185602,-0.05
185603,-0.06
185604,-0.07
185605,-0.08
185606,-0.07
185607,-0.08
185608,-0.09
185609,-0.1
185610,-0.14
185611,-0.15
185612,-0.15
185701,-0.17
185702,-0.2
185703,-0.2
185704,-0.21
185705,-0.22
185706,-0.24
185707,-0.24
185708,-0.23
185709,-0.23
185710,-0.21
185711,-0.2
185712,-0.19
185801,-0.19
185802,-0.18
185803,-0.18
185804,-0.17
185805,-0.17
185806,-0.17
185807,-0.17
185808,-0.17
185809,-0.17
185810,-0.16
185811,-0.16
185812,-0.18
185901,-0.18
185902,-0.17
185903,-0.16
185904,-0.15
185905,-0.12
185906,-0.11
185907,-0.1
185908,-0.09
185909,-0.09
185910,-0.09
185911,-0.08
185912,-0.05
186001,-0.05
186002,-0.06
186003,-0.08
186004,-0.09
186005,-0.12
186006,-0.13
186007,-0.13
186008,-0.14
186009,-0.15
186010,-0.17
186011,-0.18
186012,-0.23
186101,-0.27
186102,-0.3
186103,-0.31
186104,-0.32
186105,-0.33
186106,-0.33
186107,-0.33
186108,-0.33
186109,-0.32
186110,-0.32
186111,-0.3
186112,-0.28
186201,-0.27
186202,-0.27
186203,-0.27
186204,-0.28
186205,-0.28
186206,-0.28
186207,-0.29
186208,-0.3
186209,-0.31
186210,-0.32
186211,-0.33
186212,-0.35
186301,-0.32
186302,-0.3
186303,-0.28
186304,-0.26
186305,-0.25
186306,-0.24
186307,-0.24
186308,-0.23
186309,-0.24
186310,-0.23
186311,-0.23
186312,-0.21
186401,-0.22
186402,-0.22
186403,-0.23
186404,-0.23
186405,-0.22
186406,-0.21
186407,-0.2
186408,-0.2
186409,-0.19
186410,-0.2
186411,-0.19
186412,-0.2
186501,-0.16
186502,-0.16
186503,-0.16
186504,-0.16
186505,-0.18
186506,-0.18
186507,-0.17
186508,-0.15
186509,-0.13
186510,-0.11
186511,-0.1
186512,-0.08
186601,-0.09
186602,-0.07
186603,-0.07
186604,-0.06
186605,-0.05
186606,-0.06
186607,-0.06
186608,-0.08
186609,-0.09
186610,-0.1
186611,-0.1
186612,-0.1
186701,-0.12
186702,-0.14
186703,-0.15
186704,-0.17
186705,-0.19
186706,-0.19
186707,-0.2
186708,-0.19
186709,-0.18
186710,-0.18
186711,-0.17
186712,-0.19
186801,-0.21
186802,-0.2
186803,-0.19
186804,-0.17
186805,-0.15
186806,-0.14
186807,-0.13
186808,-0.13
186809,-0.14
186810,-0.13
186811,-0.15
186812,-0.14
186901,-0.1
186902,-0.07
186903,-0.07
186904,-0.07
186905,-0.06
186906,-0.06
186907,-0.06
186908,-0.07
186909,-0.08
186910,-0.09
186911,-0.06
186912,-0.06
187001,-0.08
187002,-0.11
187003,-0.12
187004,-0.12
187005,-0.13
187006,-0.13
187007,-0.12
187008,-0.11
187009,-0.11
187010,-0.12
187011,-0.14
187012,-0.16
187101,-0.18
187102,-0.18
187103,-0.17
187104,-0.16
187105,-0.16
187106,-0.15
187107,-0.15
187108,-0.16
187109,-0.17
187110,-0.17
187111,-0.17
187112,-0.16
187201,-0.15
187202,-0.15
187203,-0.16
187204,-0.18
187205,-0.19
187206,-0.2
187207,-0.21
187208,-0.2
187209,-0.19
187210,-0.19
187211,-0.18
187212,-0.19
187301,-0.19
187302,-0.18
187303,-0.2
187304,-0.21
187305,-0.22
187306,-0.22
187307,-0.21
187308,-0.22
187309,-0.22
187310,-0.21
187311,-0.2
187312,-0.19
187401,-0.2
187402,-0.19
187403,-0.19
187404,-0.18
187405,-0.19
187406,-0.2
187407,-0.21
187408,-0.22
187409,-0.22
187410,-0.23
187411,-0.24
187412,-0.23
187501,-0.22
187502,-0.22
187503,-0.21
187504,-0.2
187505,-0.19
187506,-0.18
187507,-0.17
187508,-0.17
187509,-0.17
187510,-0.17
187511,-0.18
187512,-0.22
187601,-0.22
187602,-0.24
187603,-0.24
187604,-0.25
187605,-0.27
187606,-0.27
187607,-0.28
187608,-0.28
187609,-0.28
187610,-0.27
187611,-0.26
187612,-0.24
187701,-0.23
187702,-0.2
187703,-0.18
187704,-0.15
187705,-0.11
187706,-0.09
187707,-0.05
187708,-0.03
187709,0
187710,0.03
187711,0.09
187712,0.12
187801,0.14
187802,0.16
187803,0.19
187804,0.2
187805,0.21
187806,0.22
187807,0.21
187808,0.21
187809,0.2
187810,0.17
187811,0.14
187812,0.12
187901,0.11
187902,0.08
187903,0.04
187904,0.02
187905,0
187906,-0.02
187907,-0.04
187908,-0.06
187909,-0.08
187910,-0.09
187911,-0.11
187912,-0.14
188001,-0.16
188002,-0.18
188003,-0.19
188004,-0.18
188005,-0.19
188006,-0.19
188007,-0.21
188008,-0.2
188009,-0.19
188010,-0.2
188011,-0.19
188012,-0.17
188101,-0.16
188102,-0.14
188103,-0.13
188104,-0.12
188105,-0.1
188106,-0.1
188107,-0.09
188108,-0.09
188109,-0.09
188110,-0.1
188111,-0.1
188112,-0.09
188201,-0.08
188202,-0.07
188203,-0.07
188204,-0.09
188205,-0.11
188206,-0.11
188207,-0.13
188208,-0.13
188209,-0.13
188210,-0.13
188211,-0.13
188212,-0.15
188301,-0.18
188302,-0.2
188303,-0.2
188304,-0.2
188305,-0.21
188306,-0.18
188307,-0.17
188308,-0.18
188309,-0.19
188310,-0.19
188311,-0.19
188312,-0.18
188401,-0.19
188402,-0.17
188403,-0.2
188404,-0.21
188405,-0.23
188406,-0.25
188407,-0.27
188408,-0.28
188409,-0.28
188410,-0.29
188411,-0.3
188412,-0.29
188501,-0.31
188502,-0.32
188503,-0.31
188504,-0.32
188505,-0.31
188506,-0.32
188507,-0.32
188508,-0.31
188509,-0.3
188510,-0.29
188511,-0.28
188512,-0.28
188601,-0.27
188602,-0.28
188603,-0.29
188604,-0.27
188605,-0.27
188606,-0.26
188607,-0.26
188608,-0.26
188609,-0.26
188610,-0.26
188611,-0.27
188612,-0.28
188701,-0.31
188702,-0.31
188703,-0.3
188704,-0.31
188705,-0.32
188706,-0.32
188707,-0.32
188708,-0.32
188709,-0.32
188710,-0.32
188711,-0.32
188712,-0.33
188801,-0.29
188802,-0.28
188803,-0.27
