Paper_number,Authors,Paper_date,Lat,Lon,Continent,Country,loc_Name,mean_rate_mm_yr,max_rate_mm_yr,Category,Study_period
z24,Ferretti et al.,2004,37.737,-122.235,North_Am,USA,"Bay Farm Island, Alameda, CA",NA,18.75,Natural Compaction,1992-2000
z24,Ferretti et al.,2004,37.882981,-122.238579,North_Am,USA,Berekley Hills,NA,38,Natural Compaction,1992-2000
z24,Ferretti et al.,2004,37.712319,-122.38478,North_Am,USA,Southeast San Francisco,NA,18.75,Natural Compaction,1992-2000
z24,Ferretti et al.,2004,37.825,-122.371,North_Am,USA,Treasure Island,NA,18.75,Natural Compaction,1992-2000
z20,Cigna et al.,2019,19.415734,-98.14,North_Am,Mexico,Apizaco,NA,17,Groundwater,2003-2011
z20,Cigna et al.,2019,19.409462,-99.143624,North_Am,Mexico,eastern Mexico City,NA,44,Groundwater,2003-2014
z20,Cigna et al.,2019,19.051004,-98.196172,North_Am,Mexico,Eastern Trans-Mexican Volcanic Belt (T,NA,53,Groundwater,2003-2010
z20,Cigna et al.,2019,19.316087,-97.442864,North_Am,Mexico,Las Derumbadas,NA,10,Groundwater,2003-2015
z20,Cigna et al.,2019,19.684326,-97.450003,North_Am,Mexico,Los Humeros,NA,11,Groundwater,2003-2016
z20,Cigna et al.,2019,18.859465,-97.749388,North_Am,Mexico,Tecamachalco valley,NA,22,Groundwater,2003-2012
z20,Cigna et al.,2019,20.111557,-98.374054,North_Am,Mexico,Tulancingo,NA,55,Groundwater,2003-2013
z17,Xu et al.,2017,32.391736,-115.26991,North_Am,Mexico,Cerro Prieto geothermal field,NA,163,Geothermal,2014-2016
z17,Xu et al.,2017,32.713745,-115.536042,North_Am,USA,"Heber, CA",NA,60,Geothermal,2014-2016
z16,Ojha et al.,2018,38.817781,-121.58416,North_Am,USA,California Central Valley,NA,50,Groundwater,2007-2011
z16,Ojha et al.,2018,37.092721,-121.04076,North_Am,USA,California Central Valley,NA,200,Groundwater,2007-2012
z16,Ojha et al.,2018,36.14,-119.342404,North_Am,USA,California Central Valley,NA,250,Groundwater,2007-2010
z16,Ojha et al.,2018,35.34,-118.72,North_Am,USA,California Central Valley,NA,50,Groundwater,2007-2013
z15,Li et al.,2020,43.255203,-79.843826,North_Am,Canada,"Ontario, Lake Erie Lake Ontario",NA,7,Tectonic,2013-2017
z15,Li et al.,2020,43.683334,-79.76667,North_Am,Canada,"Ontario, Lake Erie Lake Ontario",NA,1,Tectonic,2013-2017
z14,Samsonov et al.,2017,32.391736,-115.26991,North_Am,Mexico,Cerro Prieto Geothermal Field,NA,108,Geothermal,2011-2016
z12,Yalvac,2020,21.88234,-102.28259,North_Am,Mexico,Aguascalientes,NA,115,Groundwater,2014-2019
z12,Yalvac,2020,19.432608,-99.133209,North_Am,Mexico,Mexico City,NA,370,Groundwater,2014-2018
z08,Sarychikhina et al.,2018,32.391736,-115.26991,North_Am,Mexico,Cerro Prieto Geothermal Field,NA,170,Geothermal,1993-2014
z05,Fischi et al.,2021,36.850769,-76.285873,North_Am,USA,"Norfolk, VA",NA,8.3,Urbanization,1992-1999
z04,Chen et al.,2018,49.246292,-123.11623,North_Am,Canada,Vancouver Region,NA,100,Urbanization,2013-2015
z01,Ojha et al.,2019,41.9525,-121.4722,North_Am,USA,"Tule Lake, CA",NA,250,Groundwater,2015-2017
z01,Ojha et al.,2019,36.207729,-119.34734,North_Am,USA,"Chowchilla, CA",NA,150,Groundwater,2015-2017
z01,Ojha et al.,2019,36.40439,-118.97427,North_Am,USA,"Kaweah Subbasin, CA",NA,250,Groundwater,2015-2017
p49,Xu et al.,2018,38.347222,-122.695278,North_Am,USA,Rohnert Park,NA,7,Groundwater,1992-2010
p49,Xu et al.,2018,38.208351,-122.416983,North_Am,USA,Sonoma Valley,NA,6,Groundwater,1992-2010
p49,Xu et al.,2018,37.737,-122.235,North_Am,USA,Western SF Bay,NA,10,Natural Compaction,1992-2010
p48,Wang et al.,2018,19.5,-99,North_Am,Mexico,Mexico City,NA,220,Groundwater,2015-2016
p47,"Wang et al.
",2018,54,-166,North_Am,USA,Akutan volcano,NA,10,Tectonic,2003-2016
p39,Pascal Castellazzi et al.,2017,19.33,-99.67,North_Am,Mexico,Toluca Valley,NA,77,Groundwater,2003-2016
p34,Shirzaei and B√ºrgmann,2018,NA,NA,North_Am,USA,Natural coastal areas SF Bay,NA,10,Natural Compaction,2007-2010
p33,Blackwell et al.,2020,NA,NA,North_Am,USA,San Diego,NA,2.7,Natural Compaction,2007‚2018
p33,Blackwell et al.,2020,NA,NA,North_Am,USA,San Francisco Bay Area,NA,5.9,Natural Compaction,2007‚2018
p33,Blackwell et al.,2020,NA,NA,North_Am,USA,Santa Cruz,NA,8.7,Natural Compaction,2007‚2018
p30,Zhou et al.,2020,NA,NA,Asia,China,Beijing-Tianjin-Hebei,NA,120,Groundwater,2012-2018
p29,van der Horst et al.,2017,16.8409,96.1735,Asia,Myanmar,Yangon,NA,20,Groundwater,2014-2017
p28,Hua et al.,2019,39.9042,116.4074,Asia,China,Bejing,NA,140,Groundwater,2015-2017
p27,Othman and Abotalib,2019,26.2078,43.4837,Asia,Saudi Arabia,Al-Qassim,NA,12,Groundwater,2003-2004
p26,Meldebekova et al.,2020,34.5553,69.2075,Asia,Afghanistan,Kabul,NA,53,Groundwater,2014-2019
P25,Chen et al.,2017,39.9042,116.4074,Asia,China,Beijing plain area,NA,100,Groundwater ,2003-2010
p20,Catalao et al.,2020,1.3521,103.8198,Asia,Singapore,Singapore,NA,12,Urbanization,2011-2016
P19,Venvik et al.,2020,60.389444,5.33,Europe,Norway,Bergen,NA,5,Groundwater,2015-2018
P14,Metois et al.,2019,40.71,19.61,Europe,Albania,Patos-Marinza oil field,NA,15,Oil & Gas,2014-2018
P08,Paradella et al.,2015,-6.055033,-50.1773,South_Am,Brazil,Carajas mineral province,NA,474.6,Mining,2012-2013
P06,Gama et al.,2017,-6.055033,-50.1773,South_Am,Brazil,Carajas Mineral Province (Brazilian Amazon Region),NA,140,Mining,2012-2013
P05,Mura et al.,2016,-6.078272,-50.142283,South_Am,Brazil,Carajas mineral province,NA,340,Mining,2012-2013
P04,Temporim et al.,2018,-6.078534,-50.125153,South_Am,Brazil,Carajas mineral province,NA,18.4,Mining,2012-2013
P03,Du et al.,2020,-20.23,-44.12,South_Am,Brazil,"Brumadinho, Minas Gerais, Brazil",NA,62.6,Mining,2018-2019
AF05,Ikuemonisan and Ozebo,2020,6.529184,3.26918,Africa,Nigeria,Lagos,NA,84,Groundwater,2009-2011
AF05,Ikuemonisan and Ozebo,2020,6.5227,3.6218,Africa,Nigeria,Lagos,NA,87,Groundwater,2017-2019
AF04,Ikuemonisan et al.,2020,6.529184,3.26918,Africa,Nigeria,Lagos,NA,44,Urbanization,2017-2019
AF03,Rate and Hermas,2020,0.398,36.961,Africa,Kenya,Embu,NA,40,Tectonic,2018
233,Du et al.,2018,-34.2,150.7333,Australia,Australia,Appin & West Cliff Colliery,NA,50,Mining,2007-2016
232,Parker et al.,2017,-32,116,Australia,Australia,Perth,NA,20,Groundwater,2015-2016
215,Miller and Shirzae,2015,33.4484,-112.074,North_Am,USA,"Phoenix, AZ",NA,18.3,Groundwater,1992-2010
211,Ghazifard et al.,2016,33.985036,51.409963,Asia,Iran,Kashan,NA,35,Groundwater,2003-2008
210,Sheng et al.,2015,29.5628,106.5528,Asia,China,Chongqing,NA,328,Mining,2007-2010
205,Sergey V. Samsonov,2017,54.46,-110.173,North_Am,Canada,Cold lake,NA,50,Oil & Gas,2010-2016
151,Raucoules et al.,2007,48.874423,6.208093,Europe,France,Lorraine,NA,30,Mining,1992-1993
149,Tesauro et al.,2000,40.8563,14.2464,Europe,Italy,Napoli,NA,50,Urbanization,1993-1995
120,Fielding et al.,1998,35.475,-119.742,North_Am,USA,"Belridge, CA",NA,400,Oil & Gas,1995-1997
120,Fielding et al.,1998,35.616,-119.694,North_Am,USA,"Lost Hills, CA",NA,620.5,Oil & Gas,1995-1996
118,Sousa et al.,2010,37.075024,-3.657254,Europe,Spain,Otura,NA,10,Groundwater,1992-2006
99,Ng et al.,2011,39.9075,116.3972,Asia,China,Beijing,NA,115,Groundwater,2003-2009
70,Buckley et al.,2003,29.564,-95.025,North_Am,USA,Houston,NA,40,Oil & Gas,1996-1998
69,Chaussard et al.,2014,21.890529,-102.286697,North_Am,Mexico,Aguascalientes,NA,55,Groundwater,2007-2011
69,Chaussard et al.,2014,21.056043,-104.488954,North_Am,Mexico,Ahuacatlan,NA,50,Groundwater,2003-2008
69,Chaussard et al.,2014,20.546229,-100.833838,North_Am,Mexico,Celaya,NA,85,Groundwater,2003-2008
69,Chaussard et al.,2014,20.670416,-103.359961,North_Am,Mexico,Guadalajara,NA,33,Groundwater,2007-2011
69,Chaussard et al.,2014,20.681993,-101.351073,North_Am,Mexico,Irapuato,NA,72,Groundwater,2007-2011
69,Chaussard et al.,2014,21.138082,-101.704636,North_Am,Mexico,Leon,NA,52,Groundwater,2003-2008
69,Chaussard et al.,2014,19.4285,-99.1277,North_Am,Mexico,Mexico City,NA,300,Groundwater,2007-2011
69,Chaussard et al.,2014,19.714882,-101.211451,North_Am,Mexico,Morelia,NA,70,Groundwater,2007-2011
69,Chaussard et al.,2014,21.886994,-102.284705,North_Am,Mexico,North Aguascalientes,NA,83,Groundwater,2007-2011
69,Chaussard et al.,2014,19.037448,-98.197257,North_Am,Mexico,Puebla,NA,44,Groundwater,2007-2011
69,Chaussard et al.,2014,20.604421,-100.402321,North_Am,Mexico,Queretaro,NA,50,Groundwater,2007-2011
69,Chaussard et al.,2014,20.561915,-101.198081,North_Am,Mexico,Salamanca,NA,74,Groundwater,2007-2011
69,Chaussard et al.,2014,21.291764,-100.522889,North_Am,Mexico,San Luis de la Paz,NA,40,Groundwater,2003-2008
69,Chaussard et al.,2014,22.158181,-100.98903,North_Am,Mexico,San Luis Potosi,NA,39,Groundwater,2003-2008
69,Chaussard et al.,2014,20.95366,-101.428309,North_Am,Mexico,Silao,NA,50,Groundwater,2003-2008
69,Chaussard et al.,2014,21.285126,-100.522803,North_Am,Mexico,South of San Luis de la Paz,NA,88,Groundwater,2007-2011
69,Chaussard et al.,2014,21.490683,-104.87124,North_Am,Mexico,Tepic,NA,68,Groundwater,2003-2008
69,Chaussard et al.,2014,19.281906,-99.668647,North_Am,Mexico,Toluca,NA,70,Groundwater,2007-2011
69,Chaussard et al.,2014,22.647179,-100.851364,North_Am,Mexico,West of Villa Arista,NA,184,Groundwater,2007-2011
69,Chaussard et al.,2014,21.802444,-100.946266,North_Am,Mexico,West of Villa de Reyes,NA,52,Groundwater,2007-2011
69,Chaussard et al.,2014,19.995787,-102.27384,North_Am,Mexico,Zamora,NA,128,Groundwater,2003-2008
67,Zhu et al.,2015,39.9075,116.3972,Asia,China,Beijing,NA,52,Groundwater,2003-2010
65,Ge et al.,2014,-6.9039,107.6186,Asia,Indonesia,Bandung,NA,240,Groundwater,2002-2011
56,Aobpaet et al.,2012,13.754,100.5014,Asia,Thailand,Bangkok,NA,30,Groundwater,2005-2010
52,Higgins et al.,2014,23.7104,90.4074,Asia,Bangladesh,Dhaka city-center,NA,10,Groundwater,2007-2011
52,Higgins et al.,2014,23.7104,90.4074,Asia,Bangladesh,Dhaka outskirts,NA,18,Groundwater,2007-2011
51,Zhao et al.,2011,22.2855,114.1577,Asia,Hong Kong,Hong Kong International Airport,NA,10,Natural Compaction,2006-2008
46,Chen et al.,2012,22.2,113.555,Asia,China/Hong Kong,Greater Pearl River Delta region,NA,3.18,Urbanization,2006-2010
45,Ding et al.,2004,22.2855,114.1577,Asia,Hong Kong,Hong Kong International Airport,NA,50,Natural Compaction,1998-1999
44,Tao et al.,2012,39.1422,117.1767,Asia,China,Tianjin,NA,34,Groundwater,2007-2010
40,Bonforte et al.,2007,37.751005,14.993435,Europe,Italy,Mount Etna,NA,70,Tectonic,2002
39,Akarvardar et al.,2009,40.98,28.71,Asia,Turkey,"Avcilar district, Istanbul",NA,6,Natural Compaction,1992-1999
9,Lashkaripou et al.,2014,36.3156,59.568,Asia,Iran,Mashhad,NA,240,Groundwater,2003-2006
7,Bayuaji et al.,2010,-6.114,106.804,Asia,Indonesia,Jakarta,NA,84.25,Groundwater,2007-2008
